trending_month,category,cat_cnt,avg_comment_cnt,avg_likes_cnt,contry
17-11,Nonprofits & Activism,17,7.0,107.3529411764706,France
17-11,People & Blogs,428,387.6238317757009,2687.88785046729,France
17-11,Pets & Animals,21,1830.857142857143,9564.666666666666,France
17-11,Science & Technology,100,3039.08,22421.79,France
17-11,Shows,9,302.8888888888889,2776.1111111111113,France
17-11,Sports,365,814.5808219178082,9150.939726027398,France
17-11,Travel & Events,13,80.76923076923077,759.2307692307693,France
17-12,Autos & Vehicles,84,567.0714285714286,4847.940476190476,France
17-12,Comedy,788,2115.3172588832485,37976.845177664974,France
17-12,Education,128,814.5,8488.2265625,France
17-12,Entertainment,1533,2959.4344422700588,15241.135681669928,France
17-12,Film & Animation,351,682.951566951567,5109.14245014245,France
17-12,Gaming,234,1381.1880341880342,13346.735042735043,France
17-12,Howto & Style,358,800.7402234636871,7699.765363128492,France
17-12,Music,516,3893.8333333333335,51899.55426356589,France
17-12,News & Politics,555,357.3297297297297,1932.4702702702702,France
17-12,Nonprofits & Activism,30,3056.766666666667,12609.966666666667,France
17-12,People & Blogs,887,605.1770011273957,4445.916572717024,France
17-12,Pets & Animals,32,1790.09375,10331.59375,France
17-12,Science & Technology,100,2579.71,18683.15,France
17-12,Shows,20,526.5,2955.6,France
17-12,Sports,565,949.7929203539823,11499.084955752212,France
17-12,Travel & Events,16,176.5,867.375,France
18-01,Autos & Vehicles,90,194.46666666666667,1466.7888888888888,France
18-01,Comedy,622,1700.3762057877814,25967.546623794213,France
18-01,Education,103,935.6796116504854,11167.116504854368,France
18-01,Entertainment,1307,1181.585309869931,10005.245600612088,France
18-01,Film & Animation,306,1293.4575163398692,9406.356209150326,France
18-01,Gaming,232,2429.435344827586,15308.323275862069,France
18-01,Howto & Style,353,671.7025495750709,5052.184135977337,France
18-01,Music,570,5272.005263157895,62918.745614035084,France
18-01,News & Politics,563,406.8134991119005,2127.7921847246894,France
18-01,Nonprofits & Activism,26,59083.269230769234,176175.03846153847,France
18-01,People & Blogs,764,485.7002617801047,3696.8259162303666,France
18-01,Pets & Animals,23,413.82608695652175,4667.826086956522,France
18-01,Science & Technology,107,4902.121495327103,25245.766355140186,France
18-01,Shows,12,649.0,3126.1666666666665,France
18-01,Sports,693,1119.8225108225108,11656.343434343435,France
18-01,Travel & Events,23,251.95652173913044,2225.0,France
18-02,Autos & Vehicles,101,228.36633663366337,1615.6237623762377,France
18-02,Comedy,482,1955.8070539419086,30616.89211618257,France
18-02,Education,103,1258.7184466019417,13999.42718446602,France
18-02,Entertainment,1338,1355.7324364723468,11474.87668161435,France
18-02,Film & Animation,307,1536.3876221498372,13243.42671009772,France
18-02,Gaming,211,1027.995260663507,7962.691943127962,France
18-02,Howto & Style,365,649.8164383561644,5117.679452054795,France
18-02,Music,573,3927.500872600349,53490.5445026178,France
18-02,News & Politics,481,681.04158004158,4360.255717255717,France
18-02,Nonprofits & Activism,6,8893.833333333334,46901.166666666664,France
18-02,People & Blogs,782,608.269820971867,4221.5332480818415,France
18-02,Pets & Animals,47,824.1914893617021,3753.276595744681,France
18-02,Science & Technology,142,2923.281690140845,26919.725352112677,France
18-02,Shows,9,481.55555555555554,2519.3333333333335,France
18-02,Sports,586,1227.820819112628,9871.79180887372,France
18-02,Travel & Events,15,88.46666666666667,374.73333333333335,France
18-03,Autos & Vehicles,121,247.70247933884298,1481.595041322314,France
18-03,Comedy,582,1665.2319587628865,24182.35910652921,France
18-03,Education,107,1267.8785046728972,13805.58878504673,France
18-03,Entertainment,1410,1476.1397163120566,12863.165957446809,France
18-03,Film & Animation,311,1692.6623794212219,16494.897106109325,France
18-03,Gaming,230,888.2782608695652,9464.41304347826,France
18-03,Howto & Style,356,548.6095505617977,4469.311797752809,France
18-03,Music,646,5773.4643962848295,58788.43962848297,France
18-03,News & Politics,578,416.9982698961938,1721.7975778546713,France
18-03,Nonprofits & Activism,9,11314.222222222223,47865.77777777778,France
18-03,People & Blogs,971,365.9526261585994,3132.5128733264673,France
18-03,Pets & Animals,48,171.47916666666666,1687.6666666666667,France
18-03,Science & Technology,111,943.3243243243244,12797.837837837838,France
18-03,Shows,4,268.5,2907.0,France
18-03,Sports,644,1064.8990683229813,10323.476708074535,France
18-03,Travel & Events,18,3120.3333333333335,30760.055555555555,France
18-04,Autos & Vehicles,33,194.9090909090909,1295.8181818181818,France
18-04,Comedy,192,2362.9895833333335,33459.567708333336,France
18-04,Education,30,654.3333333333334,5940.4,France
